UNITID,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XISPRO1,ISPROF1,XISPFE1,ISPFEE1,XOSPRO1,OSPROF1,XOSPFE1,OSPFEE1,XISPRO2,ISPROF2,XISPFE2,ISPFEE2,XOSPRO2,OSPROF2,XOSPFE2,OSPFEE2,XISPRO3,ISPROF3,XISPFE3,ISPFEE3,XOSPRO3,OSPROF3,XOSPFE3,OSPFEE3,XISPRO4,ISPROF4,XISPFE4,ISPFEE4,XOSPRO4,OSPROF4,XOSPFE4,OSPFEE4,XISPRO5,ISPROF5,XISPFE5,ISPFEE5,XOSPRO5,OSPROF5,XOSPFE5,OSPFEE5,XISPRO6,ISPROF6,XISPFE6,ISPFEE6,XOSPRO6,OSPROF6,XOSPFE6,OSPFEE6,XISPRO7,ISPROF7,XISPFE7,ISPFEE7,XOSPRO7,OSPROF7,XOSPFE7,OSPFEE7,XISPRO8,ISPROF8,XISPFE8,ISPFEE8,XOSPRO8,OSPROF8,XOSPFE8,OSPFEE8,XISPRO9,ISPROF9,XISPFE9,ISPFEE9,XOSPRO9,OSPROF9,XOSPFE9,OSPFEE9,XCHG1AT0,CHG1AT0,XCHG1AF0,CHG1AF0,XCHG1AY0,CHG1AY0,XCHG1AT1,CHG1AT1,XCHG1AF1,CHG1AF1,XCHG1AY1,CHG1AY1,XCHG1AT2,CHG1AT2,XCHG1AF2,CHG1AF2,XCHG1AY2,CHG1AY2,XCHG1AT3,CHG1AT3,XCHG1AF3,CHG1AF3,XCHG1AY3,CHG1AY3,CHG1TGTD,CHG1FGTD,XCHG2AT0,CHG2AT0,XCHG2AF0,CHG2AF0,XCHG2AY0,CHG2AY0,XCHG2AT1,CHG2AT1,XCHG2AF1,CHG2AF1,XCHG2AY1,CHG2AY1,XCHG2AT2,CHG2AT2,XCHG2AF2,CHG2AF2,XCHG2AY2,CHG2AY2,XCHG2AT3,CHG2AT3,XCHG2AF3,CHG2AF3,XCHG2AY3,CHG2AY3,CHG2TGTD,CHG2FGTD,XCHG3AT0,CHG3AT0,XCHG3AF0,CHG3AF0,XCHG3AY0,CHG3AY0,XCHG3AT1,CHG3AT1,XCHG3AF1,CHG3AF1,XCHG3AY1,CHG3AY1,XCHG3AT2,CHG3AT2,XCHG3AF2,CHG3AF2,XCHG3AY2,CHG3AY2,XCHG3AT3,CHG3AT3,XCHG3AF3,CHG3AF3,XCHG3AY3,CHG3AY3,CHG3TGTD,CHG3FGTD,XCHG4AY0,CHG4AY0,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY0,CHG5AY0,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY0,CHG6AY0,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY0,CHG7AY0,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY0,CHG8AY0,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG9AY0,CHG9AY0,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3
100654,R,7770,R,1596,R,259,R,7770,R,1596,R,259,R,15540,R,1596,R,518,R,7074,R,1596,R,393,R,7074,R,1596,R,393,R,14148,R,1596,R,786,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,5592,R,1590,R,7182,R,5592,R,1590,R,7182,R,7500,R,1596,R,9096,R,7770,R,1596,R,9366,.,.,R,5592,R,1590,R,7182,R,5592,R,1590,R,7182,R,7500,R,1596,R,9096,R,7770,R,1596,R,9366,.,.,R,11184,R,1590,R,12774,R,11184,R,1590,R,12774,R,15000,R,1596,R,16596,R,15540,R,1596,R,17136,.,.,R,1800,R,1800,R,1800,R,1600,R,7346,R,10119,R,7240,R,8140,R,2748,R,2748,R,2748,R,3790,R,7346,R,10119,R,10119,R,8140,R,2748,R,2748,R,2748,R,3790,R,1300,R,1300,R,1300,R,3790
100663,R,7766,R,0,R,305,R,7766,R,0,R,305,R,17654,R,0,R,717,R,7340,R,0,R,383,R,7340,R,0,R,383,R,16628,R,0,R,899,Y,.,Y,.,Y,.,Y,.,R,25660,Y,.,R,59228,Y,.,R,26382,Y,.,R,61848,Y,.,R,25728,Y,.,R,54012,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,6798,R,0,R,6798,R,7205,R,0,R,7205,R,7510,R,0,R,7510,R,7766,R,0,R,7766,.,.,R,6798,R,0,R,6798,R,7205,R,0,R,7205,R,7510,R,0,R,7510,R,7766,R,0,R,7766,.,.,R,15462,R,0,R,15462,R,16398,R,0,R,16398,R,17062,R,0,R,17062,R,17654,R,0,R,17654,.,.,R,1000,R,1000,R,1200,R,1200,R,9714,R,9914,R,10809,R,10809,R,4175,R,4375,R,4886,R,4886,R,9714,R,9914,R,10809,R,10809,R,4175,R,4375,R,4886,R,4886,R,4175,R,4375,R,4886,R,4886
100690,R,9960,R,900,R,415,R,9960,R,900,R,415,R,9960,R,900,R,415,R,12870,R,1300,R,715,R,12870,R,1300,R,715,R,12870,R,1300,R,715,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,6000,R,800,R,6800,R,6000,R,870,R,6870,R,6000,R,900,R,6900,R,6000,R,900,R,6900,.,.,R,6000,R,800,R,6800,R,6000,R,870,R,6870,R,6000,R,900,R,6900,R,6000,R,900,R,6900,.,.,R,6000,R,800,R,6800,R,6000,R,870,R,6870,R,6000,R,900,R,6900,R,6000,R,900,R,6900,.,.,R,1500,R,1500,R,1500,R,1500,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,9600,R,9600,R,9600,R,9600,R,1600,R,1600,R,1600,R,1600,R,1600,R,1600,R,1600,R,1600
100706,R,9128,R,0,R,367,R,9128,R,0,R,367,R,20622,R,0,R,826,R,9548,R,0,R,547,R,9548,R,0,R,547,R,21402,R,0,R,1224,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,8794,R,0,R,8794,R,9192,R,0,R,9192,R,9158,R,0,R,9158,R,9128,R,0,R,9128,.,.,R,8794,R,0,R,8794,R,9192,R,0,R,9192,R,9158,R,0,R,9158,R,9128,R,0,R,9128,.,.,R,21108,R,0,R,21108,R,21506,R,0,R,21506,R,21232,R,0,R,21232,R,20622,R,0,R,20622,.,.,R,1592,R,1592,R,1639,R,1639,R,8070,R,8433,R,8433,R,9205,R,4131,R,4249,R,4302,R,4508,R,8070,R,8433,R,8433,R,9205,R,4131,R,4249,R,4302,R,4508,R,4131,R,4249,R,4302,R,4508
100724,R,6936,R,1784,R,289,R,6936,R,1784,R,289,R,13872,R,1784,R,578,R,8232,R,1784,R,343,R,8232,R,1784,R,343,R,16464,R,1784,R,686,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,6312,R,1620,R,7932,R,6936,R,1784,R,8720,R,6936,R,1784,R,8720,R,6936,R,1784,R,8720,.,.,R,6312,R,1620,R,7932,R,6936,R,1784,R,8720,R,6936,R,1784,R,8720,R,6939,R,1784,R,8723,.,.,R,12624,R,1620,R,14244,R,13872,R,1784,R,15656,R,13872,R,1784,R,15656,R,13872,R,1784,R,15656,.,.,R,1600,R,1600,R,1600,R,1600,R,5366,R,5422,R,5422,R,5422,R,2549,R,2544,R,2544,R,3392,R,7320,R,7320,R,7320,R,7320,R,3172,R,3172,R,3172,R,4228,R,3172,R,3172,R,3172,R,4228
100751,R,10170,R,0,R,604,R,10170,R,0,R,604,R,25950,R,0,R,1353,R,10170,R,0,R,604,R,10170,R,0,R,604,R,25950,R,0,R,1353,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,26382,R,0,R,61849,R,0,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,22020,R,0,R,37360,R,0,R,9200,R,0,R,9200,R,9450,R,0,R,9450,R,9826,R,0,R,9826,R,10170,R,0,R,10170,.,.,R,9200,R,0,R,9200,R,9450,R,0,R,9450,R,9826,R,0,R,9826,R,10170,R,0,R,10170,.,.,R,22950,R,0,R,22950,R,23950,R,0,R,23950,R,24950,R,0,R,24950,R,25950,R,0,R,25950,.,.,R,1100,R,1200,R,1200,R,1200,R,12450,R,12556,R,12716,R,12880,R,3967,R,3194,R,3463,R,4172,R,12450,R,12556,R,12716,R,12880,R,3967,R,3194,R,3463,R,4172,R,5763,R,4970,R,5312,R,5584
100760,R,3450,R,870,R,115,R,3450,R,870,R,115,R,6900,R,870,R,230,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,3107,R,827,R,3934,R,3164,R,827,R,3991,R,3085,R,406,R,3491,R,3450,R,870,R,4320,.,.,R,3107,R,827,R,3934,R,3164,R,827,R,3991,R,3085,R,406,R,3491,R,3450,R,870,R,4320,.,.,R,6513,R,827,R,7340,R,6327,R,827,R,7154,R,6170,R,406,R,6576,R,6900,R,870,R,7770,.,.,R,1250,R,1250,R,1300,R,1400,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,6225,R,6225,R,6230,R,7402,R,4589,R,4647,R,5058,R,6241,R,2981,R,3024,R,2778,R,3961
100812,R,5520,R,750,R,184,R,5520,R,750,R,184,R,11040,R,750,R,358,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
100830,R,8700,R,650,R,290,R,8700,R,650,R,290,R,19560,R,650,R,652,R,6462,R,554,R,359,R,6462,R,554,R,359,R,14526,R,554,R,807,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,7500,R,650,R,8150,R,8100,R,650,R,8750,R,8430,R,650,R,9080,R,8700,R,650,R,9350,.,.,R,7500,R,650,R,8150,R,8100,R,650,R,8750,R,8430,R,650,R,9080,R,8700,R,650,R,9350,.,.,R,22500,R,650,R,23150,R,24300,R,650,R,24950,R,18990,R,650,R,19640,R,19560,R,650,R,20210,.,.,R,1000,R,1000,R,1000,R,1100,R,5170,R,5290,R,5390,R,5520,R,2900,R,3414,R,2900,R,2900,R,7790,R,8780,R,7790,R,9120,R,2900,R,3414,R,2900,R,3532,R,2900,R,2900,R,2900,R,3532
100858,R,8808,R,1616,R,367,R,8808,R,1616,R,367,R,26424,R,1616,R,1101,R,8802,R,1616,R,489,R,8802,R,1616,R,489,R,26406,R,1616,R,1467,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,8802,R,12182,R,26406,R,12182,Y,.,Y,.,Y,.,Y,.,R,8802,R,9616,R,26406,R,17616,Y,.,Y,.,Y,.,Y,.,R,7872,R,1574,R,9446,R,8256,R,1596,R,9852,R,8592,R,1608,R,10200,R,8808,R,1616,R,10424,.,.,R,7872,R,1574,R,9446,R,8256,R,1596,R,9852,R,8592,R,1608,R,10200,R,8808,R,1616,R,10424,.,.,R,23616,R,1574,R,25190,R,24768,R,1596,R,26364,R,25776,R,1608,R,27384,R,26424,R,1616,R,28040,.,.,R,1100,R,1200,R,1200,R,1200,R,10606,R,11552,R,12178,R,12584,R,2636,R,2678,R,5586,R,5586,R,10606,R,11552,R,12178,R,12584,R,2636,R,2678,R,5586,R,5586,R,2636,R,2678,R,5586,R,5586
