ID,alias,city,degrees_highest,operating,state,url,zip5
144500,City Colleges of Chicago-District Office,Chicago,3,1,IL,www.ccc.edu/colleges/washington/Pages/default.aspx,60601-2449
484826,Tint School of Makeup & Cosmetology-Seattle,Seattle,2,1,WA,tintseattlecosmetologyschool.com,98101-1596
483762,Azure College,Miami Gardens,3,1,FL,www.azure.edu/,33169-5345
214661,Pennsylvania State System of Higher Education-Central Office,Harrisburg,9,1,PA,www.passhe.edu,17110
484084,Debutantes School of Cosmetology and Nail Technology,Dekalb,2,1,IL,www.debschool.com,60115-3301
141963,University of Hawaii System Office,Honolulu,9,1,HI,www.hawaii.edu,96822-2399
483559,Bella Cosmetology College,Winnsboro,2,1,TX, ,75494
483726,Luckes Beauty Academy,Newport  News,2,1,VA,www.luckesbeautyacademy.com,23601-1303
484932,BridgeValley Community & Technical College,South  Charleston,3,1,WV,www.bridgevalley.edu/,25136
401764,John Amico School of Hair Design,Oak Forest,2,1,IL,www.johnamicoschoolofhairdesign.com,60452-2501
483337,Paul Mitchell the School-Greenville,Greenville,2,1,SC,greenville.paulmitchell.edu/,29607
484862,University of West Los Angeles,Inglewood,9,1,CA,www.uwla.edu,90301
122320,San Diego Community College District-District Office,San Diego,4,1,CA,www.sdccd.edu,92108-3883
484349,Ross Medical Education Center-Evansville,Evansville,2,1,IN,www.rosseducation.edu,47715-2405
199175,University of North Carolina General Administration,Chapel Hill,9,1,NC,www.northcarolina.edu,27515-2688
483814,Standard Healthcare Services-College of Nursing,Falls Church,3,1,VA,www.standardcollege.edu,22046-4612
183327,University System of New Hampshire System Office,Concord,9,1,NH,www.usnh.edu,03301-8503
483638,New Horizons Medical Institute,Norcross,4,1,GA,www.newhorizonsmedical.com,30071
483717,River Valley Cosmetology Institute,Poteau,2,1,OK,www.rivervalleycosmetology.com,74953-5260
483504,Dorsey Business Schools-Dearborn,Detroit,2,1,MI,www.dorsey.edu,48228
483984,Morthland College,West Frankfort,5,1,IL,morthland.edu,62896-2742
199670,Sherrill's University of Barber & Cosmetology,Raleigh,2,1,NC,www.sbcuniversity.net,27610-2431
485014,Empire Beauty School-Buffalo,Cheektowaga,2,1,NY,www.empire.edu/,14225-5177
170286,Hillsdale College,Hillsdale,9,1,MI,www.hillsdale.edu,49242
483586,California International Business University,San Diego,9,1,CA,www.cibu.edu,92101
485032,Paul Mitchell the School-Toledo,Sylvania,2,1,OH,www.toledo.paulmitchell.edu,43560-2539
484844,Minerva Schools at Keck Graduate Institute,Claremont,5,1,CA,minerva.kgi.edu,91711
483878,Bay Area Medical Academy,San Francisco,2,1,CA,www.bamasf.com/,94108-3623
155308,Kansas City College & Bible School,Overland Park,5,1,KS,www.kccbs.edu,66204-1975
485139,SAE Institute of Technology-Chicago,Chicago,3,1,IL,CHICAGO.SAE.EDU,60610-3132
484871,Rabbinical College Ohr Yisroel,Brooklyn,5,1,NY,www.rabbinicalcollegeohryisroel.com,11236
485379,Hollywood Institute of Beauty Careers-West Palm Beach,West Palm Beach,2,1,FL,www.hi.edu,33405-4813
135559,Merryfield School of Pet Grooming,Oakland Park,1,1,FL,www.merryfieldschool.com,33334-4925
485388,Hollywood Institute of Beauty Careers-Casselberry,Casselberry,2,1,FL,www.hi.edu,32707-7103
484190,Park Place Premier Barber School,New Orleans,2,1,LA,www.parkplacebarberschool.com,70122-3808
108056,University of Arkansas System Office,Little Rock,9,1,AR,WWW.UASYS.EDU,72207-3608
483230,Fab School,Riverside,1,1,CA,thefabschool.com/,92507
483221,Learnet Academy Inc,Los Angeles,3,1,CA,www.learnet.edu,90020
484163,Arizona School of Integrative Studies,Clarkdale,1,1,AZ,asismassage.com/,86324-3106
130882,Delaware Technical Community College-Central Office,Dover,3,1,DE,https://www.dtcc.edu,19901
191409,Gloria Francis School of Make-Up Artistry,Hicksville,2,1,NY,https://www.brittanybeautyschool.com/,11801-3873
484923,Dermal Science International Aesthetics and Nail Academy,Reston,1,1,VA,estheticstraining.com,20190
485421,Dewey University-Mayaguez,Mayaguez,3,1,PR,dewey.edu,00682-0000
484783,University of Phoenix-Pennsylvania,Philadelphia,7,1,PA,www.phoenix.edu,19103
151485,ITT Educational Services Inc-System Office,Carmel,7,1,IN,www.itt-tech.edu,46032-1404
483902,Yechanlaz Instituto Vocacional,Miami,2,1,FL,www.yechanlaz-instituto.com,33144-4817
483382,Electrical Training Center,Copiague,2,1,NY,www.electricaltrainingcenter.edu,11726
483629,Midwest Technical Institute,Brownsburg,2,1,IN,www.midwesttech.edu,46112
484756,University of Phoenix-Texas,Houston,7,1,TX,www.phoenix.edu,77079
484048,Barber Institute of Texas,Longview,2,1,TX,www.bit.edu,75602-3456
484729,University of Phoenix-North Carolina,Charlotte,7,1,NC,www.phoenix.edu,28273
483513,NeeCee's College of Cosmetology,Abilene,2,1,TX,neeceescollege.com,79605
483595,Universidad Ana G. Mendez-Virtual Campus,Bayamón,7,1,PR,myuagm.suagm.edu/,00961
484288,Knox Theological Seminary,Fort Lauderdale,9,1,FL,www.knoxseminary.edu,33308-3209
