state,state_fips,county_fips,complete_fips,county_name
AA,00,000,00000,All other territories and foreign countries
AK,02,013,02013,Aleutians East Borough
AK,02,016,02016,Aleutians West Census Area
AK,02,020,02020,Anchorage Municipality
AK,02,050,02050,Bethel Census Area
AK,02,060,02060,Bristol Bay Borough
AK,02,063,02063,Chugach Census Area
AK,02,066,02066,Copper River Census Area
AK,02,068,02068,Denali Borough
AK,02,070,02070,Dillingham Census Area
AK,02,090,02090,Fairbanks North Star Borough
AK,02,100,02100,Haines Borough
AK,02,105,02105,Hoonah-Angoon Census Area
AK,02,110,02110,Juneau City and Borough
AK,02,122,02122,Kenai Peninsula Borough
AK,02,130,02130,Ketchikan Gateway Borough
AK,02,150,02150,Kodiak Island Borough
AK,02,158,02158,Kusilvak Census Area
AK,02,164,02164,Lake and Peninsula Borough
AK,02,170,02170,Matanuska-Susitna Borough
AK,02,180,02180,Nome Census Area
AK,02,185,02185,North Slope Borough
AK,02,188,02188,Northwest Arctic Borough
AK,02,195,02195,Petersburg Borough
AK,02,198,02198,Prince of Wales-Hyder Census Area
AK,02,201,02201,Prince of Wales-Outer Ketchikan
AK,02,220,02220,Sitka City and Borough
AK,02,230,02230,Skagway Municipality
AK,02,240,02240,Southeast Fairbanks Census Area
AK,02,261,02261,Valdez-Cordova Census Area
AK,02,270,02270,Wade Hampton Census Area
AK,02,275,02275,Wrangell City and Borough
AK,02,282,02282,Yakutat City and Borough
AK,02,290,02290,Yukon-Koyukuk Census Area
AL,01,001,01001,Autauga County
AL,01,003,01003,Baldwin County
AL,01,005,01005,Barbour County
AL,01,007,01007,Bibb County
AL,01,009,01009,Blount County
AL,01,011,01011,Bullock County
AL,01,013,01013,Butler County
AL,01,015,01015,Calhoun County
AL,01,017,01017,Chambers County
AL,01,019,01019,Cherokee County
AL,01,021,01021,Chilton County
AL,01,023,01023,Choctaw County
AL,01,025,01025,Clarke County
AL,01,027,01027,Clay County
AL,01,029,01029,Cleburne County
AL,01,031,01031,Coffee County
AL,01,033,01033,Colbert County
AL,01,035,01035,Conecuh County
AL,01,037,01037,Coosa County
AL,01,039,01039,Covington County
AL,01,041,01041,Crenshaw County
AL,01,043,01043,Cullman County
AL,01,045,01045,Dale County
AL,01,047,01047,Dallas County
AL,01,049,01049,DeKalb County
AL,01,051,01051,Elmore County
AL,01,053,01053,Escambia County
AL,01,055,01055,Etowah County
AL,01,057,01057,Fayette County
AL,01,059,01059,Franklin County
AL,01,061,01061,Geneva County
AL,01,063,01063,Greene County
AL,01,065,01065,Hale County
AL,01,067,01067,Henry County
AL,01,069,01069,Houston County
AL,01,071,01071,Jackson County
AL,01,073,01073,Jefferson County
AL,01,075,01075,Lamar County
AL,01,077,01077,Lauderdale County
AL,01,079,01079,Lawrence County
AL,01,081,01081,Lee County
AL,01,083,01083,Limestone County
AL,01,085,01085,Lowndes County
AL,01,087,01087,Macon County
AL,01,089,01089,Madison County
AL,01,091,01091,Marengo County
AL,01,093,01093,Marion County
AL,01,095,01095,Marshall County
AL,01,097,01097,Mobile County
AL,01,099,01099,Monroe County
AL,01,101,01101,Montgomery County
AL,01,103,01103,Morgan County
AL,01,105,01105,Perry County
AL,01,107,01107,Pickens County
AL,01,109,01109,Pike County
AL,01,111,01111,Randolph County
AL,01,113,01113,Russell County
AL,01,115,01115,St. Clair County
AL,01,117,01117,Shelby County
AL,01,119,01119,Sumter County
AL,01,121,01121,Talladega County
AL,01,123,01123,Tallapoosa County
AL,01,125,01125,Tuscaloosa County
AL,01,127,01127,Walker County
AL,01,129,01129,Washington County
AL,01,131,01131,Wilcox County
AL,01,133,01133,Winston County
AR,05,001,05001,Arkansas County
AR,05,003,05003,Ashley County
AR,05,005,05005,Baxter County
AR,05,007,05007,Benton County
AR,05,009,05009,Boone County
