YOB,FRA,reduction_months,primary_pia,primary_pct_reduction,spouse_pia,spouse_pct_reduction
1937 or earlier,65,36,$800,20.00%,$375,25.00%
1938,65 and 2 months,38,791,20.83%,370,25.83%
1939,65 and 4 months,40,783,21.67%,366,26.67%
1940,65 and 6 months,42,775,22.50%,362,27.50%
1941,65 and 8 months,44,766,23.33%,358,28.33%
1942,65 and 10 months,46,758,24.17%,354,29.17%
1943-1954,66,48,750,25.00%,350,30.00%
1955,66 and 2 months,50,741,25.83%,345,30.83%
1956,66 and 4 months,52,733,26.67%,341,31.67%
1957,66 and 6 months,54,725,27.50%,337,32.50%
1958,66 and 8 months,56,716,28.33%,333,33.33%
1959,66 and 10 months,58,708,29.17%,329,34.17%
1960 and later,67,60,700,30.00%,325,35.00%
