sort-imports,Expected 'multiple' syntax before 'single' syntax
sort-imports,Expected 'all' syntax before 'single' syntax
max-lines-per-function,Function 'Autocomplete' has too many lines (202). Maximum allowed is 50
max-statements,Function 'Autocomplete' has too many statements (37). Maximum allowed is 25
no-warning-comments,Unexpected 'todo' comment
complexity,Method 'keydown' has a complexity of 7. Maximum allowed is 4
max-lines-per-function,Function 'GlobalSearch' has too many lines (92). Maximum allowed is 50
complexity,Function '_handleBodyClick' has a complexity of 5. Maximum allowed is 4
no-mixed-operators,Unexpected mix of '&&' and '||'
no-mixed-operators,Unexpected mix of '&&' and '||'
no-mixed-operators,Unexpected mix of '||' and '&&'
no-mixed-operators,Unexpected mix of '||' and '&&'
no-unused-vars,'event' is defined but never used
no-warning-comments,Unexpected 'todo' comment
no-warning-comments,Unexpected 'todo' comment
max-lines-per-function,Function 'Multiselect' has too many lines (323). Maximum allowed is 50
no-warning-comments,Unexpected 'todo' comment
max-lines-per-function,Function '_populateMarkup' has too many lines (71). Maximum allowed is 50
complexity,Function '_highlight' has a complexity of 5. Maximum allowed is 4
complexity,Function '_updateSelections' has a complexity of 8. Maximum allowed is 4
no-unused-vars,'filterIndices' is defined but never used
max-lines-per-function,Function '_bindEvents' has too many lines (73). Maximum allowed is 50
complexity,Method 'keydown' has a complexity of 9. Maximum allowed is 4
complexity,Method 'keydown' has a complexity of 5. Maximum allowed is 4
max-lines-per-function,Function 'MultiselectModel' has too many lines (101). Maximum allowed is 50
max-statements,Function 'MultiselectModel' has too many statements (29). Maximum allowed is 25
max-lines-per-function,Function 'Notification' has too many lines (74). Maximum allowed is 50
complexity,Function 'init' has a complexity of 5. Maximum allowed is 4
complexity,Function '_setType' has a complexity of 5. Maximum allowed is 4
complexity,Function 'BreakpointHandler' has a complexity of 8. Maximum allowed is 4
no-mixed-operators,Unexpected mix of '&&' and '||'
no-mixed-operators,Unexpected mix of '&&' and '||'
complexity,Function 'handleViewportChange' has a complexity of 5. Maximum allowed is 4
no-warning-comments,Unexpected 'todo' comment
no-new,Do not use 'new' for side effects
guard-for-in,The body of a for-in should be wrapped in an if statement to filter unwanted properties from the prototype
complexity,Method 'getVendorPrefix' has a complexity of 6. Maximum allowed is 4
no-mixed-operators,Unexpected mix of '*' and '+'
no-mixed-operators,Unexpected mix of '*' and '+'
max-len,This line has a length of 81. Maximum allowed is 80
no-mixed-operators,Unexpected mix of '+' and '*'
no-mixed-operators,Unexpected mix of '+' and '*'
no-mixed-operators,Unexpected mix of '+' and '*'
no-mixed-operators,Unexpected mix of '+' and '*'
